Var1,Var2,Freq
MONDO:0021326,ICD9CM:150.0,11
MONDO:0021325,ICD9CM:150.1,11
MONDO:0007576,ICD9CM:150.9,11
MONDO:0001063,ICD9CM:151.0,11
MONDO:0001061,ICD9CM:151.1,11
MONDO:0001062,ICD9CM:151.2,11
MONDO:0006815,ICD9CM:152.1,11
MONDO:0002357,ICD9CM:153.0,11
MONDO:0002361,ICD9CM:153.1,11
MONDO:0001462,ICD9CM:153.2,11
MONDO:0001464,ICD9CM:153.3,11
MONDO:0001235,ICD9CM:153.5,11
MONDO:0002238,ICD9CM:153.6,11
MONDO:0001463,ICD9CM:153.7,11
MONDO:0021063,ICD9CM:153.9,11
MONDO:0002425,ICD9CM:154.0,11
MONDO:0000405,ICD9CM:154.2,11
MONDO:0001487,ICD9CM:155.1,11
MONDO:0002691,ICD9CM:155.2,11
MONDO:0005411,ICD9CM:156.0,11
MONDO:0021321,ICD9CM:156.1,11
MONDO:0002087,ICD9CM:158.9,11
MONDO:0001128,ICD9CM:160.0,11
MONDO:0001994,ICD9CM:160.5,11
MONDO:0002351,ICD9CM:161.0,11
MONDO:0001724,ICD9CM:161.1,11
MONDO:0001293,ICD9CM:161.2,11
MONDO:0001691,ICD9CM:161.3,11
MONDO:0002352,ICD9CM:161.9,11
MONDO:0001407,ICD9CM:162.0,11
MONDO:0002811,ICD9CM:162.2,11
MONDO:0006294,ICD9CM:163.9,11
MONDO:0002586,ICD9CM:164.0,11
MONDO:0000953,ICD9CM:170.8,11
MONDO:0001401,ICD9CM:174.0,11
MONDO:0001805,ICD9CM:174.1,11
MONDO:0002067,ICD9CM:174.2,11
MONDO:0002068,ICD9CM:174.3,11
MONDO:0001850,ICD9CM:174.5,11
MONDO:0002069,ICD9CM:174.6,11
MONDO:0002158,ICD9CM:183.2,11
MONDO:0001108,ICD9CM:183.3,11
MONDO:0001350,ICD9CM:183.4,11
MONDO:0001403,ICD9CM:184.1,11
MONDO:0008315,ICD9CM:185,11
MONDO:0001480,ICD9CM:186.0,11
MONDO:0001388,ICD9CM:187.2,11
MONDO:0021112,ICD9CM:187.7,11
MONDO:0001375,ICD9CM:188.0,11
MONDO:0001380,ICD9CM:188.1,11
MONDO:0001319,ICD9CM:188.2,11
MONDO:0001376,ICD9CM:188.3,11
MONDO:0001373,ICD9CM:188.4,11
MONDO:0001379,ICD9CM:188.6,11
MONDO:0001378,ICD9CM:188.7,11
MONDO:0001187,ICD9CM:188.9,11
MONDO:0005519,ICD9CM:189.1,11
MONDO:0008627,ICD9CM:189.2,11
MONDO:0003802,ICD9CM:190.4,11
MONDO:0001580,ICD9CM:190.7,11
MONDO:0002218,ICD9CM:191.2,11
MONDO:0001952,ICD9CM:191.3,11
MONDO:0002433,ICD9CM:192.0,11
MONDO:0003544,ICD9CM:192.2,11
MONDO:0004151,ICD9CM:192.3,11
MONDO:0003274,ICD9CM:195.1,11
MONDO:0021496,ICD9CM:210.0,11
MONDO:0021476,ICD9CM:210.1,11
MONDO:0021492,ICD9CM:210.2,11
MONDO:0021520,ICD9CM:210.3,11
MONDO:0021513,ICD9CM:210.5,11
MONDO:0021478,ICD9CM:210.7,11
MONDO:0021461,ICD9CM:210.8,11
MONDO:0021523,ICD9CM:210.9,11
MONDO:0021459,ICD9CM:211.0,11
MONDO:0021449,ICD9CM:211.1,11
MONDO:0021501,ICD9CM:211.2,11
MONDO:0002278,ICD9CM:211.3,11
MONDO:0002354,ICD9CM:212.1,11
MONDO:0021457,ICD9CM:212.4,11
MONDO:0021521,ICD9CM:212.5,11
MONDO:0021512,ICD9CM:212.6,11
MONDO:0021450,ICD9CM:212.7,11
MONDO:0021522,ICD9CM:213.1,11
MONDO:0000975,ICD9CM:214.4,11
MONDO:0005106,ICD9CM:214.9,11
MONDO:0021440,ICD9CM:216.9,11
MONDO:0001664,ICD9CM:218.0,11
MONDO:0001843,ICD9CM:218.1,11
MONDO:0001745,ICD9CM:218.2,11
MONDO:0021525,ICD9CM:219.1,11
MONDO:0000632,ICD9CM:219.9,11
MONDO:0000647,ICD9CM:221.1,11
MONDO:0021447,ICD9CM:222.0,11
MONDO:0021458,ICD9CM:222.1,11
MONDO:0021510,ICD9CM:222.2,11
MONDO:0021473,ICD9CM:222.3,11
MONDO:0021472,ICD9CM:222.4,11
MONDO:0021467,ICD9CM:223.1,11
MONDO:0000384,ICD9CM:223.3,11
MONDO:0021453,ICD9CM:224.5,11
MONDO:0021487,ICD9CM:224.6,11
MONDO:0021454,ICD9CM:224.9,11
MONDO:0021506,ICD9CM:225.3,11
MONDO:0006107,ICD9CM:226,11
MONDO:0021511,ICD9CM:227.0,11
MONDO:0021463,ICD9CM:227.1,11
MONDO:0002328,ICD9CM:228.02,11
MONDO:0021541,ICD9CM:228.03,11
MONDO:0002337,ICD9CM:228.04,11
MONDO:0021443,ICD9CM:229.0,11
MONDO:0004716,ICD9CM:230.2,11
MONDO:0004663,ICD9CM:230.3,11
MONDO:0004707,ICD9CM:230.5,11
MONDO:0004696,ICD9CM:231.0,11
MONDO:0004641,ICD9CM:232.9,11
MONDO:0004658,ICD9CM:233.0,11
MONDO:0004703,ICD9CM:233.7,11
MONDO:0018975,ICD9CM:237.71,11
MONDO:0007039,ICD9CM:237.72,11
MONDO:0002002,ICD9CM:244.0,11
MONDO:0003271,ICD9CM:244.2,11
MONDO:0001949,ICD9CM:245.0,11
MONDO:0004126,ICD9CM:245.9,11
MONDO:0001525,ICD9CM:246.0,11
MONDO:0001460,ICD9CM:246.1,11
MONDO:0003240,ICD9CM:246.9,11
MONDO:0002239,ICD9CM:251.3,11
MONDO:0001770,ICD9CM:251.5,11
MONDO:0001741,ICD9CM:252.00,11
MONDO:0001223,ICD9CM:252.9,11
MONDO:0019591,ICD9CM:253.2,11
MONDO:0006909,ICD9CM:253.3,11
MONDO:0004782,ICD9CM:253.5,11
MONDO:0003009,ICD9CM:255.10,11
MONDO:0015231,ICD9CM:255.13,11
MONDO:0001473,ICD9CM:255.6,11
MONDO:0001946,ICD9CM:256.0,11
MONDO:0007540,ICD9CM:258.01,11
MONDO:0005151,ICD9CM:259.9,11
MONDO:0006826,ICD9CM:260,11
MONDO:0006848,ICD9CM:261,11
MONDO:0007016,ICD9CM:264.9,11
MONDO:0001244,ICD9CM:269.0,11
MONDO:0024298,ICD9CM:269.2,11
MONDO:0019216,ICD9CM:270.0,11
MONDO:0004739,ICD9CM:270.6,11
MONDO:0002412,ICD9CM:271.0,11
MONDO:0009297,ICD9CM:271.4,11
MONDO:0006573,ICD9CM:272.6,11
MONDO:0002525,ICD9CM:272.9,11
MONDO:0002272,ICD9CM:273.0,11
MONDO:0013282,ICD9CM:273.4,11
MONDO:0002279,ICD9CM:275.0,11
MONDO:0017762,ICD9CM:275.1,11
MONDO:0002319,ICD9CM:275.3,11
MONDO:0005557,ICD9CM:275.40,11
MONDO:0019065,ICD9CM:277.3,11
MONDO:0019065,ICD9CM:277.30,11
MONDO:0018088,ICD9CM:277.31,11
MONDO:0011565,ICD9CM:277.7,11
MONDO:0019053,ICD9CM:277.86,11
MONDO:0004937,ICD9CM:278.4,11
MONDO:0015517,ICD9CM:279.06,11
MONDO:0013730,ICD9CM:279.50,11
MONDO:0020546,ICD9CM:279.51,11
MONDO:0020547,ICD9CM:279.52,11
MONDO:0001356,ICD9CM:280.9,11
MONDO:0008228,ICD9CM:281.0,11
MONDO:0001860,ICD9CM:281.2,11
MONDO:0001639,ICD9CM:281.9,11
MONDO:0019350,ICD9CM:282.0,11
MONDO:0020108,ICD9CM:283.0,11
MONDO:0001549,ICD9CM:283.11,11
MONDO:0001529,ICD9CM:284.1,11
MONDO:0015194,ICD9CM:285.0,11
MONDO:0010604,ICD9CM:286.1,11
MONDO:0012897,ICD9CM:286.2,11
MONDO:0001243,ICD9CM:286.6,11
MONDO:0001197,ICD9CM:287.1,11
MONDO:0004680,ICD9CM:287.3,11
MONDO:0016030,ICD9CM:287.32,11
MONDO:0002049,ICD9CM:287.5,11
MONDO:0003785,ICD9CM:288.50,11
MONDO:0003783,ICD9CM:288.51,11
MONDO:0006829,ICD9CM:288.62,11
MONDO:0006795,ICD9CM:289.4,11
MONDO:0001367,ICD9CM:289.51,11
MONDO:0018048,ICD9CM:289.84,11
MONDO:0005433,ICD9CM:291.81,11
MONDO:0005567,ICD9CM:292.0,11
MONDO:0004985,ICD9CM:296.80,11
MONDO:0006913,ICD9CM:320.1,11
MONDO:0001316,ICD9CM:320.2,11
MONDO:0006670,ICD9CM:320.9,11
MONDO:0001007,ICD9CM:322.2,11
MONDO:0000939,ICD9CM:324.0,11
MONDO:0016451,ICD9CM:327.11,11
MONDO:0016452,ICD9CM:327.12,11
MONDO:0024356,ICD9CM:327.21,11
MONDO:0007147,ICD9CM:327.23,11
MONDO:0005905,ICD9CM:327.51,11
MONDO:0019046,ICD9CM:330.0,11
MONDO:0002045,ICD9CM:331.3,11
MONDO:0024238,ICD9CM:331.9,11
MONDO:0005180,ICD9CM:332.0,11
MONDO:0007739,ICD9CM:333.4,11
MONDO:0011728,ICD9CM:333.81,11
MONDO:0000482,ICD9CM:333.84,11
MONDO:0008491,ICD9CM:333.91,11
MONDO:0019790,ICD9CM:333.92,11
MONDO:0002085,ICD9CM:333.93,11
MONDO:0005391,ICD9CM:333.94,11
MONDO:0009245,ICD9CM:334.0,11
MONDO:0004742,ICD9CM:334.2,11
MONDO:0001516,ICD9CM:335.10,11
MONDO:0009672,ICD9CM:335.11,11
MONDO:0004976,ICD9CM:335.20,11
MONDO:0018687,ICD9CM:335.21,11
MONDO:0002552,ICD9CM:336.1,11
MONDO:0002545,ICD9CM:336.9,11
MONDO:0001295,ICD9CM:337.0,11
MONDO:0024317,ICD9CM:338.4,11
MONDO:0018615,ICD9CM:339.41,11
MONDO:0005301,ICD9CM:340,11
MONDO:0019100,ICD9CM:341.0,11
MONDO:0010085,ICD9CM:341.1,11
MONDO:0015342,ICD9CM:341.20,11
MONDO:0001590,ICD9CM:344.00,11
MONDO:0003757,ICD9CM:344.1,11
MONDO:0009468,ICD9CM:348.2,11
MONDO:0005560,ICD9CM:348.3,11
MONDO:0005560,ICD9CM:348.30,11
MONDO:0001291,ICD9CM:348.4,11
MONDO:0005560,ICD9CM:348.9,11
MONDO:0005071,ICD9CM:349.9,11
MONDO:0008599,ICD9CM:350.1,11
MONDO:0005665,ICD9CM:351.0,11
MONDO:0016372,ICD9CM:352.1,11
MONDO:0001535,ICD9CM:352.3,11
MONDO:0002636,ICD9CM:352.4,11
MONDO:0001810,ICD9CM:352.5,11
MONDO:0001819,ICD9CM:352.6,11
MONDO:0003569,ICD9CM:352.9,11
MONDO:0001829,ICD9CM:353.1,11
MONDO:0007275,ICD9CM:354.0,11
MONDO:0001458,ICD9CM:354.2,11
MONDO:0006940,ICD9CM:354.3,11
MONDO:0002128,ICD9CM:354.5,11
MONDO:0001543,ICD9CM:355.0,11
MONDO:0023757,ICD9CM:355.1,11
MONDO:0001542,ICD9CM:355.3,11
MONDO:0006994,ICD9CM:355.5,11
MONDO:0002121,ICD9CM:355.9,11
MONDO:0001073,ICD9CM:356.4,11
MONDO:0001765,ICD9CM:357.1,11
MONDO:0001583,ICD9CM:357.2,11
MONDO:0006645,ICD9CM:357.5,11
MONDO:0001904,ICD9CM:357.6,11
MONDO:0001957,ICD9CM:357.82,11
MONDO:0009688,ICD9CM:358.0,11
MONDO:0007827,ICD9CM:359.71,11
MONDO:0005336,ICD9CM:359.9,11
MONDO:0004863,ICD9CM:360.00,11
MONDO:0017202,ICD9CM:360.01,11
MONDO:0019198,ICD9CM:360.11,11
MONDO:0001363,ICD9CM:360.42,11
MONDO:0001523,ICD9CM:360.81,11
MONDO:0004579,ICD9CM:361.10,11
MONDO:0001435,ICD9CM:361.12,11
MONDO:0008375,ICD9CM:361.9,11
MONDO:0001661,ICD9CM:362.01,11
MONDO:0001660,ICD9CM:362.02,11
MONDO:0001661,ICD9CM:362.03,11
MONDO:0004728,ICD9CM:362.07,11
MONDO:0006797,ICD9CM:362.11,11
